movieId,title,genres,description,metadata
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,"A movie about Toy Story. Genres: Adventure, Animation, Children, Comedy, Fantasy.","{""Genre"": ""Adventure, Animation, Children, Comedy, Fantasy"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
2,Jumanji (1995),Adventure|Children|Fantasy,"A movie about Jumanji. Genres: Adventure, Children, Fantasy.","{""Genre"": ""Adventure, Children, Fantasy"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
3,Grumpier Old Men (1995),Comedy|Romance,"A movie about Grumpier Old Men. Genres: Comedy, Romance.","{""Genre"": ""Comedy, Romance"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
4,Waiting to Exhale (1995),Comedy|Drama|Romance,"A movie about Waiting to Exhale. Genres: Comedy, Drama, Romance.","{""Genre"": ""Comedy, Drama, Romance"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
5,Father of the Bride Part II (1995),Comedy,A movie about Father of the Bride Part II. Genres: Comedy.,"{""Genre"": ""Comedy"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
6,Heat (1995),Action|Crime|Thriller,"The Public Enemy battle The Gangstas in a Steel Cage Match. Tommy Dreamer & The Pitbulls battle Raven & The Dudleys in Six-Man Tag Team action. ECW Champion The Sandman defends his title against Axl Rotten. Also featuring Stevie Richards, Luna Vachon, Dean Malenko, Eddie Guerrero and more.","{""Title"": ""ECW Heat Wave 1995"", ""Description"": ""The Public Enemy battle The Gangstas in a Steel Cage Match. Tommy Dreamer & The Pitbulls battle Raven & The Dudleys in Six-Man Tag Team action. ECW Champion The Sandman defends his title against Axl Rotten. Also featuring Stevie Richards, Luna Vachon, Dean Malenko, Eddie Guerrero and more."", ""Genre"": """", ""Year"": ""1995"", ""Director"": ""Unknown"", ""Runtime"": 110, ""Language"": ""en"", ""Poster"": ""https://image.tmdb.org/t/p/w500/4miPIzrKBaSznoTBv1bS0sZwoMG.jpg""}"
7,Sabrina (1995),Comedy|Romance,"A movie about Sabrina. Genres: Comedy, Romance.","{""Genre"": ""Comedy, Romance"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
8,Tom and Huck (1995),Adventure|Children,"A movie about Tom and Huck. Genres: Adventure, Children.","{""Genre"": ""Adventure, Children"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
9,Sudden Death (1995),Action,A movie about Sudden Death. Genres: Action.,"{""Genre"": ""Action"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
10,GoldenEye (1995),Action|Adventure|Thriller,"A movie about GoldenEye. Genres: Action, Adventure, Thriller.","{""Genre"": ""Action, Adventure, Thriller"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
11,"American President, The (1995)",Comedy|Drama|Romance,"A movie about American President, The. Genres: Comedy, Drama, Romance.","{""Genre"": ""Comedy, Drama, Romance"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,"A movie about Dracula: Dead and Loving It. Genres: Comedy, Horror.","{""Genre"": ""Comedy, Horror"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
13,Balto (1995),Adventure|Animation|Children,"A movie about Balto. Genres: Adventure, Animation, Children.","{""Genre"": ""Adventure, Animation, Children"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
14,Nixon (1995),Drama,A movie about Nixon. Genres: Drama.,"{""Genre"": ""Drama"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
15,Cutthroat Island (1995),Action|Adventure|Romance,"A movie about Cutthroat Island. Genres: Action, Adventure, Romance.","{""Genre"": ""Action, Adventure, Romance"", ""Year"": ""Unknown"", ""Rating"": ""Unknown"", ""Cast"": ""Unknown"", ""imdbRating"": ""Unknown"", ""Poster"": ""https://via.placeholder.com/300x450""}"
